P_plan_kWh,P_em_kWh,E_bat_kWh
593.7661332764295,0.0,10800.0
596.6845332646787,0.0,10800.0
607.2459142543455,0.0,10800.0
606.021858335162,0.0,10800.0
616.3248179890509,0.0,10800.0
634.2252398902772,0.0,10800.0
641.0810828089382,0.0,10800.0
644.790737254565,0.0,10800.0
646.8020270516699,0.0,10800.0
640.191692022473,0.0,10800.0
638.6554478358541,0.0,10800.0
644.8063208360433,0.0,10800.0
649.0827099706628,0.0,10800.0
658.9532118965783,0.0,10800.0
665.8058769674773,0.0,10800.0
663.1787387559874,0.0,10800.0
670.9804132232351,0.0,10800.0
682.4236071176898,0.0,10800.0
662.5311475890034,0.0,10800.0
665.94557003392,0.0,10800.0
687.82048750154,0.0,10800.0
675.7920378488889,0.0,10800.0
675.8681869594449,0.0,10800.0
697.0802823923327,0.0,10800.0
700.4676955218531,0.0,10800.0
704.4946551122296,0.0,10800.0
716.2826257924299,0.0,10800.0
716.0543352995878,0.0,10800.0
701.4845386378629,0.0,10800.0
692.4868314057142,0.0,10800.0
708.574309506394,0.0,10800.0
730.326681531116,0.0,10800.0
722.6647927048402,0.0,10800.0
783.6620373271062,0.0,10800.0
779.1253778017096,0.0,10800.0
909.86160087692,0.0,10800.0
243.14654196915671,0.0,10475.510398484248
902.5046851158301,0.0,10800.0
915.4948917462509,0.0,10800.0
909.7960542953666,0.0,10800.0
897.8882105241535,0.0,10800.0
870.2909955265573,0.0,10800.0
827.0196199336197,0.0,10800.0
788.3399266322878,0.0,10800.0
733.7235808032685,0.0,10800.0
1479.8018350971427,0.0,10800.0
732.7007472366852,0.0,10800.0
75.01376474394768,0.0,10550.10094230809
31.013732884846224,0.0,10359.86483069866
0.0,0.0,10215.65083069866
0.0,0.0,10119.779071439401
0.0,0.0,10079.81334921718
0.0,0.0,10010.420089957921
0.0,0.0,9882.446015883846
0.0,0.0,9831.53033069866
0.0,0.0,9859.75478069866
0.0,0.0,9915.28553069866
410.75845734346694,0.0,10379.565447307781
0.0,0.0,10532.74297230778
0.0,0.0,10726.63034730778
0.0,0.0,10800.0
0.0,0.0,10800.0
7.367875575675271,0.0,10800.0
0.0,0.0,10800.0
176.78330331715944,0.0,10800.0
976.4476705676418,0.0,10800.0
965.088964995357,0.0,10800.0
966.6659163254956,0.0,10800.0
964.744051545351,0.0,10800.0
948.0705268879065,0.0,10800.0
907.4812566887285,0.0,10800.0
867.1243777091573,0.0,10800.0
867.9424746761598,0.0,10800.0
880.9893937821599,0.0,10800.0
883.8393429978312,0.0,10800.0
885.3285402724747,0.0,10800.0
923.2147111757076,0.0,10800.0
137.55060365628034,0.0,10800.0
131.84874592282657,0.0,10800.0
129.94401183136648,0.0,10800.0
152.34975927638465,0.0,10800.0
163.6994097656683,0.0,10800.0
0.0,0.0,10800.0
0.0,0.0,10800.0
0.0,0.0,10800.0
0.0,0.0,10800.0
0.0,0.0,10800.0
0.0,0.0,10800.0
0.0,0.0,10800.0
1290.5789297940473,0.0,10800.0
1308.2197743616166,0.0,10800.0
1344.8438584917335,0.0,10800.0
735.8667245955913,0.0,10800.0
635.7099163250246,0.0,10800.0
680.6093095792577,0.0,10800.0
721.3973438360251,0.0,10800.0
764.9921398884321,0.0,10800.0
807.2885577324579,0.0,10800.0
850.2555892306711,0.0,10800.0
900.9270109591486,0.0,10800.0
952.6430487599519,0.0,10800.0
997.7840789201174,0.0,10800.0
1029.5815257231698,0.0,10800.0
1035.4203599945236,0.0,10800.0
1054.1915288956088,0.0,10800.0
1086.5833173688627,0.0,10800.0
955.2328340955378,0.0,10800.0
740.0565060808063,0.0,10800.0
717.8526292425419,0.0,10800.0
741.4671827557979,0.0,10800.0
725.6709631407448,0.0,10800.0
734.0228374599693,0.0,10800.0
612.8103865437743,0.0,10800.0
0.0,0.0,10319.846296296297
0.0,0.0,9848.719500000001
0.0,0.0,9357.150092592594
0.0,0.0,8819.653796296298
0.0,0.0,8285.00438888889
0.0,0.0,7790.82001851852
0.0,0.0,7326.2700185185195
0.0,0.0,6841.002777777779
0.0,0.0,6338.005166666668
0.0,0.0,5838.040351851853
0.0,0.0,5332.410685185187
734.9997033378536,0.0,5585.299288189255
740.4769072162895,0.0,5838.264004683916
732.9442304812388,0.0,6050.235122117031
724.4016172866563,0.0,6249.241757675022
739.2666613562797,0.0,6484.780752895674
778.0335901860063,0.0,6753.7886290630795
716.0739900135081,0.0,6993.071530075237
643.8990513368689,0.0,7219.704176278419
1395.413697115647,0.0,7969.704176278419
563.0816068316603,0.0,8149.257227426913
1386.8267775906447,0.0,8899.257227426913
1407.3574665850415,0.0,9649.257227426913
581.2392619414644,0.0,9796.920988174232
568.9851226465206,0.0,9920.3905985561
579.5319268123956,0.0,10076.150877687256
595.7608963227419,0.0,10251.471804377723
603.2736921205494,0.0,10425.467627286218
605.4261435353037,0.0,10621.838126467992
597.0199807482165,0.0,10749.916974141386
598.0329528910877,0.0,10765.405631743364
594.0167655453579,0.0,10760.241982349318
597.7418635846782,0.0,10774.64862457553
608.9494174200611,0.0,10796.569100253584
606.2941018628114,0.0,10800.0
615.9676308350593,0.0,10800.0
635.6139946844447,0.0,10800.0
641.1627420369821,0.0,10800.0
644.4124520124939,0.0,10800.0
646.9213938561439,0.0,10800.0
640.5427305496157,0.0,10800.0
639.8432919056437,0.0,10800.0
646.2978882680128,0.0,10800.0
648.8682851651172,0.0,10800.0
658.5162440850784,0.0,10800.0
665.8015124106178,0.0,10800.0
663.5182145280342,0.0,10800.0
671.8601095636977,0.0,10800.0
683.2670492007766,0.0,10800.0
664.2466065562623,0.0,10800.0
667.1913412462613,0.0,10800.0
687.9511528639646,0.0,10800.0
675.85233423664,0.0,10800.0
675.8845319104157,0.0,10800.0
698.2342466295655,0.0,10800.0
701.8720972322504,0.0,10800.0
705.086893722827,0.0,10800.0
716.453219148189,0.0,10800.0
716.2149366845189,0.0,10800.0
701.4503216953885,0.0,10800.0
692.0653771419416,0.0,10800.0
709.5571566896007,0.0,10800.0
731.6257636272551,0.0,10800.0
723.6185264111106,0.0,10800.0
736.8868123542144,0.0,10800.0
778.9590292924909,0.0,10800.0
910.198451201311,0.0,10800.0
243.4918810490673,0.0,10106.93596042489
902.9760611894236,0.0,10150.41248049537
916.3007948014226,0.0,10188.931695816651
910.4192762852931,0.0,10219.897914473415
897.3617859995802,0.0,10276.245521873037
867.8651882201314,0.0,10366.195066271155
822.7687037732499,0.0,10444.73961466708
784.7115956513254,0.0,10513.173330753272
730.6696319774544,0.0,10579.856999532982
1476.1534491668583,0.0,10800.0
728.3027774936483,0.0,10800.0
70.61364858255668,0.0,9977.182757684322
26.3292104264868,0.0,9092.18038038042
0.0,0.0,8248.984972973012
0.0,0.0,7479.466917417457
0.0,0.0,6768.214139639679
0.0,0.0,6117.009361861901
0.0,0.0,5537.895010010049
0.0,0.0,5032.518528528568
0.0,0.0,4572.75901001005
0.0,0.0,4156.889565565605
386.6410095935899,0.0,4244.791029199836
0.0,0.0,3987.673918088725
0.0,0.0,3740.604010681317
0.0,0.0,3506.426751422058
0.0,0.0,3293.056436607243
0.0,0.0,3109.6397699405766
0.0,0.0,2968.963492162799
177.81338614508962,0.0,3039.1753146933797
974.2102543397154,0.0,3789.1753146933797
971.3795310895364,0.0,4539.17531469338
971.0908370580074,0.0,5289.17531469338
956.4857579801326,0.0,6039.17531469338
939.7880859642512,0.0,6789.17531469338
905.2901110865532,0.0,7539.17531469338
868.8511881878436,0.0,8289.17531469338
868.2095519132852,0.0,9039.17531469338
882.2494429084823,0.0,9789.17531469338
889.8457763910267,0.0,10539.17531469338
893.4115382188722,0.0,10800.0
932.0136270908422,0.0,10800.0
147.2548684696497,0.0,10800.0
141.8614984082343,0.0,10800.0
138.1866114974291,0.0,10800.0
157.66154097196525,0.0,10800.0
167.9702744315275,0.0,10800.0
0.0,0.0,10682.999833333333
0.0,0.0,10572.042425925925
0.0,0.0,10409.564574074073
0.0,0.0,10186.838407407406
0.0,0.0,9931.17498148148
0.0,0.0,9650.075148148146
0.0,0.0,9309.944648148146
1292.3422205167435,0.0,10059.944648148146
1310.863761414594,0.0,10800.0
1348.2935254781464,0.0,10800.0
801.898600621175,0.0,10800.0
639.4127062349527,0.0,10800.0
683.4697163735382,0.0,10800.0
720.3630975285864,0.0,10800.0
763.277054871412,0.0,10800.0
804.8457717808262,0.0,10800.0
846.184553183911,0.0,10800.0
896.3962573353676,0.0,10800.0
948.7111755759697,0.0,10800.0
994.911075847428,0.0,10800.0
1028.7536752447259,0.0,10800.0
1035.690628890908,0.0,10800.0
1054.3430486060902,0.0,10800.0
1086.6177914835766,0.0,10800.0
955.383604348729,0.0,10800.0
740.5905935850396,0.0,10800.0
717.8008799176969,0.0,10800.0
741.4981460619847,0.0,10795.645810439242
725.4714593919543,0.0,10762.52891346734
733.2608582415879,0.0,10738.816033735771
616.5226064270977,0.0,10604.434485321435
0.0,0.0,9803.736337173286
0.0,0.0,8988.022114951063
0.0,0.0,8189.352077914026
0.0,0.0,7424.513189025138
0.0,0.0,6630.284374210323
0.0,0.0,5824.93491124736
0.0,0.0,5041.251577914027
0.0,0.0,4247.525077914027
0.0,0.0,3461.77391124736
0.0,0.0,2695.4183556918047
0.0,0.0,1900.846114951064
735.3478337918878,0.0,1915.3482503637629
739.5619012080025,0.0,1955.1569614509651
732.8733566592506,0.0,1983.3284824442906
723.8883286574635,0.0,1997.8957582360079
738.7141128125634,0.0,2025.820459767315
778.0836036660817,0.0,2079.6340280667887
716.1618415100031,0.0,2126.8438354257914
644.1186501127271,0.0,2196.4741205272458
1395.624646162314,0.0,2946.4741205272458
563.3015591709543,0.0,2968.3996887811045
1386.9354238466815,0.0,3718.3996887811045
1407.311764502867,0.0,4468.3996887811045
581.2642911146932,0.0,4501.990920784328
569.2217865300819,0.0,4526.9030286614025
579.343401847245,0.0,4547.240210323923
595.8366946559055,0.0,4577.307555514238
603.2500224767898,0.0,4626.620075743349
606.1372081709311,0.0,4688.710438097187
596.2456649597123,0.0,4717.888631560928
599.3594456473569,0.0,4725.073132643549
1426.4014036297715,0.0,5475.073132643549
1426.486865352063,0.0,6225.073132643549
1439.391661549244,0.0,6971.867628037869
1439.3518482465672,0.0,7721.867628037869
1447.051974403102,0.0,8471.867628037868
1462.7623790926855,0.0,9221.867628037868
636.5014894314911,0.0,9276.99510852621
637.5519126306028,0.0,9319.473739893752
1470.3385947480758,0.0,10069.473739893752
