P_plan_kWh,P_adj_kWh,P_em_kWh,P_chg_kWh,P_dis_kWh,E_bat_kWh
549.2044214285713,549.2044214285713,0.0,0.0,0.0,10800.0
554.7007976190475,554.7007976190475,0.0,0.0,0.0,10800.0
565.1219047619047,565.1219047619047,0.0,0.0,0.0,10800.0
563.048438095238,563.048438095238,0.0,0.0,0.0,10800.0
568.2702190476191,568.2702190476191,0.0,0.0,0.0,10800.0
583.4466666666666,583.4466666666666,0.0,0.0,0.0,10800.0
589.7838095238095,589.7838095238095,0.0,0.0,0.0,10800.0
589.3473547619049,589.3473547619049,0.0,0.0,0.0,10800.0
590.03,590.03,0.0,0.0,0.0,10800.0
596.1523928571429,596.1523928571429,0.0,0.0,0.0,10800.0
597.1119238095238,597.1119238095238,0.0,0.0,0.0,10800.0
593.150238095238,593.150238095238,0.0,0.0,0.0,10800.0
596.2881357142857,596.2881357142857,0.0,0.0,0.0,10800.0
607.0321857142856,607.0321857142856,0.0,0.0,0.0,10800.0
615.6459523809523,615.6459523809523,0.0,0.0,0.0,10800.0
613.0903738095238,613.0903738095238,0.0,0.0,0.0,10800.0
620.4478166666667,620.4478166666667,0.0,0.0,0.0,10800.0
632.6238095238094,632.6238095238094,0.0,0.0,0.0,10800.0
624.6917761904762,624.6917761904762,0.0,0.0,0.0,10800.0
625.6131119047618,625.6131119047618,0.0,0.0,0.0,10800.0
634.3121428571428,634.3121428571428,0.0,0.0,0.0,10800.0
622.3960095238094,622.3960095238094,0.0,0.0,0.0,10800.0
625.5802833333332,625.5802833333332,0.0,0.0,0.0,10800.0
647.3095238095239,647.3095238095239,0.0,0.0,0.0,10800.0
653.5153547619047,653.5153547619047,0.0,0.0,0.0,10800.0
654.5941666666666,654.5941666666666,0.0,0.0,0.0,10800.0
658.8359523809523,658.8359523809523,0.0,0.0,0.0,10800.0
660.1013904761904,660.1013904761904,0.0,0.0,0.0,10800.0
650.4544333333333,650.4544333333333,0.0,0.0,0.0,10800.0
641.8226190476191,641.8226190476191,0.0,0.0,0.0,10800.0
656.3253380952381,656.3253380952381,0.0,0.0,0.0,10800.0
676.3269,676.3269,0.0,0.0,0.0,10800.0
676.6985714285714,676.6985714285714,0.0,0.0,0.0,10800.0
658.0466190476191,658.0466190476191,0.0,0.0,0.0,10800.0
707.3948738095237,707.3948738095237,0.0,0.0,0.0,10800.0
0.0,0.0,0.0,0.0,510.98333333333335,10232.24074074074
0.0,0.0,0.0,0.0,535.1871833333332,9637.588314814815
258.41407380952023,0.0,0.0,0.0,533.3553333333333,9044.971277777779
0.0,0.0,0.0,0.0,504.52,8484.3935
805.0592214285714,805.0592214285714,0.0,285.50553809523814,0.0,8741.348484285714
806.167761904762,806.167761904762,0.0,254.68767857142862,0.0,8970.567395
789.4287499999998,789.4287499999998,0.0,237.3870833333332,0.0,9184.21577
744.9006,744.9006,0.0,230.34255000000007,0.0,9391.524065000001
703.5410785714286,703.5410785714286,0.0,255.63252857142857,0.0,9621.593340714287
655.6344642857143,655.6344642857143,0.0,266.2102976190477,0.0,9861.182608571431
1415.381957142857,1415.381957142857,0.0,833.3333333333333,0.0,10611.182608571431
623.4101404761905,623.4101404761905,0.0,209.79710158729884,0.0,10800.0
0.0,0.0,0.0,0.0,299.92291666666665,10466.752314814814
0.0,0.0,0.0,0.0,202.22623333333337,10242.056499999999
0.0,0.0,0.0,0.0,129.7926,10097.842499999999
0.0,0.0,0.0,0.0,86.28458333333333,10001.97074074074
0.0,0.0,0.0,0.0,35.96914999999997,9962.00501851852
0.0,0.0,0.0,0.0,62.453933333333296,9892.61175925926
0.0,0.0,0.0,0.0,115.17666666666673,9764.637685185186
0.0,0.0,0.0,0.0,45.82411666666659,9713.722
0.0,0.0,0.0,31.360500000000076,0.0,9741.94645
0.0,0.0,0.0,61.70083333333332,0.0,9797.4772
0.0,0.0,0.0,105.10811666666662,0.0,9892.074504999999
0.0,0.0,0.0,170.19725,0.0,10045.252029999998
0.0,0.0,0.0,215.43041666666664,0.0,10239.139404999998
0.0,0.0,0.0,200.4176333333333,0.0,10419.515274999998
0.0,0.0,0.0,226.9201833333333,0.0,10623.743439999998
0.0,0.0,0.0,195.84062222222406,0.0,10800.0
0.0,0.0,0.0,0.0,0.0,10800.0
37.19011666666695,37.19011666666695,0.0,0.0,0.0,10800.0
840.556369047619,840.556369047619,0.0,0.0,0.0,10800.0
833.3333333333333,833.3333333333333,0.0,0.0,0.0,10800.0
833.3333333333333,833.3333333333333,0.0,0.0,0.0,10800.0
833.3333333333333,833.3333333333333,0.0,0.0,0.0,10800.0
833.3333333333333,833.3333333333333,0.0,0.0,0.0,10800.0
833.3333333333333,833.3333333333333,0.0,0.0,0.0,10800.0
833.3333333333333,833.3333333333333,0.0,0.0,0.0,10800.0
833.3333333333333,0.0,0.0,0.0,0.0,10800.0
833.3333333333333,0.0,0.0,0.0,0.0,10800.0
833.3333333333333,0.0,0.0,0.0,0.0,10800.0
